,text,state,date,star,hp_data
288,Ac doer nunchi water vasthunae complant echanu vachi chusi vellaru kani problem enka clear avva ledhu service baga ledhu,"Certified Buyer, Nellore",4 months ago,1,"LG AI Convertible 6-in-1 Cooling 2024 Model 1 Ton 3 Star Split Inverter 2 Way Swing, HD Filter with Anti-Virus Protection with VIRAAT Mode & ADC Sensor AC - White  (TS-Q12CNXE, Copper Condenser)"
289,Very bad experience,"Certified Buyer, Bijpur",4 months ago,1,"LG AI Convertible 6-in-1 Cooling 2024 Model 1 Ton 3 Star Split Inverter 2 Way Swing, HD Filter with Anti-Virus Protection with VIRAAT Mode & ADC Sensor AC - White  (TS-Q12CNXE, Copper Condenser)"
290,"Ac takes too much time to cool , also if I put it on 24 room temp show 26 after running 1hr.","Certified Buyer, Mahesana",4 months ago,1,"LG AI Convertible 6-in-1 Cooling 2024 Model 1 Ton 3 Star Split Inverter 2 Way Swing, HD Filter with Anti-Virus Protection with VIRAAT Mode & ADC Sensor AC - White  (TS-Q12CNXE, Copper Condenser)"
291,Worst product,"Certified Buyer, Indore",4 months ago,1,"LG AI Convertible 6-in-1 Cooling 2024 Model 1 Ton 3 Star Split Inverter 2 Way Swing, HD Filter with Anti-Virus Protection with VIRAAT Mode & ADC Sensor AC - White  (TS-Q12CNXE, Copper Condenser)"
292,Outdoor unit noise is unbearable,"Certified Buyer, Suryapet District",4 months ago,1,"LG AI Convertible 6-in-1 Cooling 2024 Model 1 Ton 3 Star Split Inverter 2 Way Swing, HD Filter with Anti-Virus Protection with VIRAAT Mode & ADC Sensor AC - White  (TS-Q12CNXE, Copper Condenser)"
293,"Flipkart provides the worst customer service which I've observed these days. My AC delivered on time but they didn't have a good brand authorised partner in Hyderabad so that my installation was not done for a week which is bad. I had wasted my time and money by believing their promised date of installation everyday. If you are planning to get this one Flipkart, I would suggest not to do that.","Certified Buyer, Hyderabad",4 months ago,1,"LG AI Convertible 6-in-1 Cooling 2024 Model 1 Ton 3 Star Split Inverter 2 Way Swing, HD Filter with Anti-Virus Protection with VIRAAT Mode & ADC Sensor AC - White  (TS-Q12CNXE, Copper Condenser)"
294,"The product is not good, not cooling even in 16 degrees","Certified Buyer, Hyderabad",4 months ago,1,"LG AI Convertible 6-in-1 Cooling 2024 Model 1 Ton 3 Star Split Inverter 2 Way Swing, HD Filter with Anti-Virus Protection with VIRAAT Mode & ADC Sensor AC - White  (TS-Q12CNXE, Copper Condenser)"
295,This is not performing as per requirement and also the efficiency is not good,"Certified Buyer, Jajapur",4 months ago,1,"LG AI Convertible 6-in-1 Cooling 2024 Model 1 Ton 3 Star Split Inverter 2 Way Swing, HD Filter with Anti-Virus Protection with VIRAAT Mode & ADC Sensor AC - White  (TS-Q12CNXE, Copper Condenser)"
296,"Low cooling capacity and noise is very high, I'm using
Since 15 days of time","Certified Buyer, Srikakulam District",4 months ago,1,"LG AI Convertible 6-in-1 Cooling 2024 Model 1 Ton 3 Star Split Inverter 2 Way Swing, HD Filter with Anti-Virus Protection with VIRAAT Mode & ADC Sensor AC - White  (TS-Q12CNXE, Copper Condenser)"
297,Too much cost,"Certified Buyer, Yerraguntla",4 months ago,1,"LG AI Convertible 6-in-1 Cooling 2024 Model 1 Ton 3 Star Split Inverter 2 Way Swing, HD Filter with Anti-Virus Protection with VIRAAT Mode & ADC Sensor AC - White  (TS-Q12CNXE, Copper Condenser)"
298,"Not getting cooling, Blue star is best.","Certified Buyer, Proddatur",4 months ago,1,"LG AI Convertible 6-in-1 Cooling 2024 Model 1 Ton 3 Star Split Inverter 2 Way Swing, HD Filter with Anti-Virus Protection with VIRAAT Mode & ADC Sensor AC - White  (TS-Q12CNXE, Copper Condenser)"
299,Cooling problem and outdoor problem,"Certified Buyer, Chennai",4 months ago,1,"LG AI Convertible 6-in-1 Cooling 2024 Model 1 Ton 3 Star Split Inverter 2 Way Swing, HD Filter with Anti-Virus Protection with VIRAAT Mode & ADC Sensor AC - White  (TS-Q12CNXE, Copper Condenser)"
300,"Waste of money . AC not working till one month of installation. Installed by Jeeves company authorized from LG but both are blaming on one another
I request not to purchase from flipkart
As it lie there as waste of money
Junk","Certified Buyer, Alwar","May, 2023",1,"LG AI Convertible 6-in-1 Cooling 2024 Model 1.2 Ton 3 Star Split Dual Inverter 2 Way Swing, HD Filter with Anti-Virus Protection,VIRAAT Mode, Diet Mode & ADC Sensor AC - White  (TS-Q17XNXE2, Copper Condenser)"
301,"I purchased this LG A. C. on 17 April 23..The most horrible experience ever... My A. C. Is just not working... Even if I run it on 16 the room is hot.. I don't understand what is it .. I have an IFB ac in my hometown. It's 3 years old.. I have to wear a blanket even if I put it on 27 degree C..
But this LG AC.. I get a feeling that iv been fooled.. I'm a very nice guy.. Normally i never complain of things... But this time the experience has been really disastrous... I have problem when it ge...
READ MORE","Certified Buyer, Kalyan","Apr, 2023",1,"LG AI Convertible 6-in-1 Cooling 2024 Model 1.2 Ton 3 Star Split Dual Inverter 2 Way Swing, HD Filter with Anti-Virus Protection,VIRAAT Mode, Diet Mode & ADC Sensor AC - White  (TS-Q17XNXE2, Copper Condenser)"
302,"If you want to buy a white showpiece for your bedroom then go ahead otherwise BIG NO. Worst service experience. Flipkart would not accept return/exchange if you need to. The indoor unit has serious water leakage issues, so this showpiece can be used as bedside shower.","Certified Buyer, Madhyamgram","Apr, 2023",1,"LG AI Convertible 6-in-1 Cooling 2024 Model 1.2 Ton 3 Star Split Dual Inverter 2 Way Swing, HD Filter with Anti-Virus Protection,VIRAAT Mode, Diet Mode & ADC Sensor AC - White  (TS-Q17XNXE2, Copper Condenser)"
303,Totally waste of money. company is not refund my money as per their policy which was not mentioned during purchase. That is why i am not using this and i have put it in the store room. thanks Flipkart 🙏🙏🙏,"Certified Buyer, Charkhi Dadri","May, 2022",1,"LG AI Convertible 6-in-1 Cooling 2024 Model 1.2 Ton 3 Star Split Dual Inverter 2 Way Swing, HD Filter with Anti-Virus Protection,VIRAAT Mode, Diet Mode & ADC Sensor AC - White  (TS-Q17XNXE2, Copper Condenser)"
304,"This model don't have 4 way swing, it's actual ton is 1.3 because it's cooling capacity is 4400w, they are cheating us and selling it as 1.5 ton compare with other ac brands","Certified Buyer, Erode",6 months ago,1,"LG AI Convertible 6-in-1 Cooling 2024 Model 1.2 Ton 3 Star Split Dual Inverter 2 Way Swing, HD Filter with Anti-Virus Protection,VIRAAT Mode, Diet Mode & ADC Sensor AC - White  (TS-Q17XNXE2, Copper Condenser)"
305,"Do not buy any product from Flipkart
Not cooling
Ac remote stop working within a month","Certified Buyer, Kolkata","Mar, 2022",1,"LG AI Convertible 6-in-1 Cooling 2024 Model 1.2 Ton 3 Star Split Dual Inverter 2 Way Swing, HD Filter with Anti-Virus Protection,VIRAAT Mode, Diet Mode & ADC Sensor AC - White  (TS-Q17XNXE2, Copper Condenser)"
306,"Worst service from flipkart and jeeves ,wrong instllation done of indoor and outdoor unit ,continuous water leakage from Indoor unit ,no service support as continously following up from day of installation ,still no positive response","Certified Buyer, Boisar","Mar, 2022",1,"LG AI Convertible 6-in-1 Cooling 2024 Model 1.2 Ton 3 Star Split Dual Inverter 2 Way Swing, HD Filter with Anti-Virus Protection,VIRAAT Mode, Diet Mode & ADC Sensor AC - White  (TS-Q17XNXE2, Copper Condenser)"
307,My ac is not getting temperature less than 23,"Certified Buyer, Bela Pratapgarh","Apr, 2022",1,"LG AI Convertible 6-in-1 Cooling 2024 Model 1.2 Ton 3 Star Split Dual Inverter 2 Way Swing, HD Filter with Anti-Virus Protection,VIRAAT Mode, Diet Mode & ADC Sensor AC - White  (TS-Q17XNXE2, Copper Condenser)"
308,Watter leek in outdoor pipe line indoor,"Certified Buyer, Tiruvallur","Apr, 2022",1,"LG AI Convertible 6-in-1 Cooling 2024 Model 1.2 Ton 3 Star Split Dual Inverter 2 Way Swing, HD Filter with Anti-Virus Protection,VIRAAT Mode, Diet Mode & ADC Sensor AC - White  (TS-Q17XNXE2, Copper Condenser)"
309,Third class AC very very slow cooling,"Certified Buyer, Raichur","May, 2022",1,"LG AI Convertible 6-in-1 Cooling 2024 Model 1.2 Ton 3 Star Split Dual Inverter 2 Way Swing, HD Filter with Anti-Virus Protection,VIRAAT Mode, Diet Mode & ADC Sensor AC - White  (TS-Q17XNXE2, Copper Condenser)"
310,Not giving cool instent cooling i m not satisfied with this product ....,"Certified Buyer, Munger","Apr, 2022",1,"LG AI Convertible 6-in-1 Cooling 2024 Model 1.2 Ton 3 Star Split Dual Inverter 2 Way Swing, HD Filter with Anti-Virus Protection,VIRAAT Mode, Diet Mode & ADC Sensor AC - White  (TS-Q17XNXE2, Copper Condenser)"
311,Please do not buy from here. AC is not cooling at all.,"Certified Buyer, Mainpuri","Apr, 2022",1,"LG AI Convertible 6-in-1 Cooling 2024 Model 1.2 Ton 3 Star Split Dual Inverter 2 Way Swing, HD Filter with Anti-Virus Protection,VIRAAT Mode, Diet Mode & ADC Sensor AC - White  (TS-Q17XNXE2, Copper Condenser)"
312,Not energy efficient. Not as per company spoken.,"Certified Buyer, Gwalior","May, 2023",1,"LG AI Convertible 6-in-1 Cooling 2024 Model 1.2 Ton 3 Star Split Dual Inverter 2 Way Swing, HD Filter with Anti-Virus Protection,VIRAAT Mode, Diet Mode & ADC Sensor AC - White  (TS-Q17XNXE2, Copper Condenser)"
313,"Installation not good, water lekeage issue after 10 days","Certified Buyer, Mathura District","Apr, 2022",1,"LG AI Convertible 6-in-1 Cooling 2024 Model 1.2 Ton 3 Star Split Dual Inverter 2 Way Swing, HD Filter with Anti-Virus Protection,VIRAAT Mode, Diet Mode & ADC Sensor AC - White  (TS-Q17XNXE2, Copper Condenser)"
314,It worked a week and cooling rate dropped drastically. May be I received the defective one.,"Certified Buyer, Hyderabad","Apr, 2022",1,"LG AI Convertible 6-in-1 Cooling 2024 Model 1.2 Ton 3 Star Split Dual Inverter 2 Way Swing, HD Filter with Anti-Virus Protection,VIRAAT Mode, Diet Mode & ADC Sensor AC - White  (TS-Q17XNXE2, Copper Condenser)"
315,Very bad product,"Certified Buyer, Bharthana",3 days ago,1,"LG AI Convertible 6-in-1 Cooling 2024 Model 1.2 Ton 3 Star Split Dual Inverter 2 Way Swing, HD Filter with Anti-Virus Protection,VIRAAT Mode, Diet Mode & ADC Sensor AC - White  (TS-Q17XNXE2, Copper Condenser)"
316,Not energy seving,"Certified Buyer, Junagadh",22 days ago,1,"LG AI Convertible 6-in-1 Cooling 2024 Model 1.2 Ton 3 Star Split Dual Inverter 2 Way Swing, HD Filter with Anti-Virus Protection,VIRAAT Mode, Diet Mode & ADC Sensor AC - White  (TS-Q17XNXE2, Copper Condenser)"
317,Plz don't buy ....it's not working,"Certified Buyer, Gorakhpur",27 days ago,1,"LG AI Convertible 6-in-1 Cooling 2024 Model 1.2 Ton 3 Star Split Dual Inverter 2 Way Swing, HD Filter with Anti-Virus Protection,VIRAAT Mode, Diet Mode & ADC Sensor AC - White  (TS-Q17XNXE2, Copper Condenser)"
318,No cooling heavy electricity bill. Better to buy bluestar 1 tonn ac,"Certified Buyer, Hisar District",29 days ago,1,"LG AI Convertible 6-in-1 Cooling 2024 Model 1.2 Ton 3 Star Split Dual Inverter 2 Way Swing, HD Filter with Anti-Virus Protection,VIRAAT Mode, Diet Mode & ADC Sensor AC - White  (TS-Q17XNXE2, Copper Condenser)"
319,Product is very nice but service is not that good as my AC has cooling issue and not resolved by company or installation team..also known that the LG company and installation tema was different so ensure while installing,"Certified Buyer, Panch Mahals District",29 days ago,1,"LG AI Convertible 6-in-1 Cooling 2024 Model 1.2 Ton 3 Star Split Dual Inverter 2 Way Swing, HD Filter with Anti-Virus Protection,VIRAAT Mode, Diet Mode & ADC Sensor AC - White  (TS-Q17XNXE2, Copper Condenser)"
320,Very worst product,"Certified Buyer, Madurai",30 days ago,1,"LG AI Convertible 6-in-1 Cooling 2024 Model 1.2 Ton 3 Star Split Dual Inverter 2 Way Swing, HD Filter with Anti-Virus Protection,VIRAAT Mode, Diet Mode & ADC Sensor AC - White  (TS-Q17XNXE2, Copper Condenser)"
321,"Not a good product and installation by service partner is worst, installation tacnician is unexperienced . Thay made my new ac into old ac. Ac is not cooling room","Certified Buyer, Firozpur",1 month ago,1,"LG AI Convertible 6-in-1 Cooling 2024 Model 1.2 Ton 3 Star Split Dual Inverter 2 Way Swing, HD Filter with Anti-Virus Protection,VIRAAT Mode, Diet Mode & ADC Sensor AC - White  (TS-Q17XNXE2, Copper Condenser)"
322,Worst experience,"Certified Buyer, Pimpri Chinchwad",1 month ago,1,"LG AI Convertible 6-in-1 Cooling 2024 Model 1.2 Ton 3 Star Split Dual Inverter 2 Way Swing, HD Filter with Anti-Virus Protection,VIRAAT Mode, Diet Mode & ADC Sensor AC - White  (TS-Q17XNXE2, Copper Condenser)"
323,Cooling is very bad,"Certified Buyer, Guwahati",1 month ago,1,"LG AI Convertible 6-in-1 Cooling 2024 Model 1.2 Ton 3 Star Split Dual Inverter 2 Way Swing, HD Filter with Anti-Virus Protection,VIRAAT Mode, Diet Mode & ADC Sensor AC - White  (TS-Q17XNXE2, Copper Condenser)"
324,Very bad Cooling problem,"Certified Buyer, Sendhwa",1 month ago,1,"LG AI Convertible 6-in-1 Cooling 2024 Model 1.2 Ton 3 Star Split Dual Inverter 2 Way Swing, HD Filter with Anti-Virus Protection,VIRAAT Mode, Diet Mode & ADC Sensor AC - White  (TS-Q17XNXE2, Copper Condenser)"
325,Not good products,"Certified Buyer, Rohtas District",1 month ago,1,"LG AI Convertible 6-in-1 Cooling 2024 Model 1.2 Ton 3 Star Split Dual Inverter 2 Way Swing, HD Filter with Anti-Virus Protection,VIRAAT Mode, Diet Mode & ADC Sensor AC - White  (TS-Q17XNXE2, Copper Condenser)"
326,Please don't get this ..... LG is completely fraud and Flipkart never sends people to install this product.. we have ordered this on May 1 and we have not yet recieved a person to install the same..,"Certified Buyer, Kelambakkam",2 months ago,1,"LG AI Convertible 6-in-1 Cooling 2024 Model 1.2 Ton 3 Star Split Dual Inverter 2 Way Swing, HD Filter with Anti-Virus Protection,VIRAAT Mode, Diet Mode & ADC Sensor AC - White  (TS-Q17XNXE2, Copper Condenser)"
327,It's cooling power is soo poor,"Certified Buyer, Khongapani",2 months ago,1,"LG AI Convertible 6-in-1 Cooling 2024 Model 1.2 Ton 3 Star Split Dual Inverter 2 Way Swing, HD Filter with Anti-Virus Protection,VIRAAT Mode, Diet Mode & ADC Sensor AC - White  (TS-Q17XNXE2, Copper Condenser)"
328,"Worst product, Cooling issue from 2nd week, The 3rd party installation provided by flipkart is worst ,they don't even know to properly install it , no response while calling and lg team also not taking.
Totally hate the purchase.","Certified Buyer, Thoraipakkam",2 months ago,1,"LG AI Convertible 6-in-1 Cooling 2024 Model 1.2 Ton 3 Star Split Dual Inverter 2 Way Swing, HD Filter with Anti-Virus Protection,VIRAAT Mode, Diet Mode & ADC Sensor AC - White  (TS-Q17XNXE2, Copper Condenser)"
329,"Worst ac I ever seen. After 10 days, colling process became pathetic. I have raised complaints but no solution so far. Don't buy these kind of products from Flipkart.","Certified Buyer, Giridih",2 months ago,1,"LG AI Convertible 6-in-1 Cooling 2024 Model 1.2 Ton 3 Star Split Dual Inverter 2 Way Swing, HD Filter with Anti-Virus Protection,VIRAAT Mode, Diet Mode & ADC Sensor AC - White  (TS-Q17XNXE2, Copper Condenser)"
330,Indoor machine -no nitrogen gas,"Certified Buyer, Chennai",2 months ago,1,"LG AI Convertible 6-in-1 Cooling 2024 Model 1.2 Ton 3 Star Split Dual Inverter 2 Way Swing, HD Filter with Anti-Virus Protection,VIRAAT Mode, Diet Mode & ADC Sensor AC - White  (TS-Q17XNXE2, Copper Condenser)"
331,After Installation water leakage problem. Same problem still exists. Cooling takes more time than other Acs. Fan speed is very very very low even in 5th speed.,"Certified Buyer, Raniganj",2 months ago,1,"LG AI Convertible 6-in-1 Cooling 2024 Model 1.2 Ton 3 Star Split Dual Inverter 2 Way Swing, HD Filter with Anti-Virus Protection,VIRAAT Mode, Diet Mode & ADC Sensor AC - White  (TS-Q17XNXE2, Copper Condenser)"
332,Very bad product and technician not good the installation cooling very low very bad not recommended by everyone,"Certified Buyer, Saran District",2 months ago,1,"LG AI Convertible 6-in-1 Cooling 2024 Model 1.2 Ton 3 Star Split Dual Inverter 2 Way Swing, HD Filter with Anti-Virus Protection,VIRAAT Mode, Diet Mode & ADC Sensor AC - White  (TS-Q17XNXE2, Copper Condenser)"
333,"Outdoor is very noisy
Cooling is okay","Certified Buyer, Samastipur District",2 months ago,1,"LG AI Convertible 6-in-1 Cooling 2024 Model 1.2 Ton 3 Star Split Dual Inverter 2 Way Swing, HD Filter with Anti-Virus Protection,VIRAAT Mode, Diet Mode & ADC Sensor AC - White  (TS-Q17XNXE2, Copper Condenser)"
334,Please don't buy this product cooling 0% design 100% Quality of LG appliances decrease with time please buy another brand ac and save money Worst quality 😔,"Certified Buyer, Tundla",2 months ago,1,"LG AI Convertible 6-in-1 Cooling 2024 Model 1.2 Ton 3 Star Split Dual Inverter 2 Way Swing, HD Filter with Anti-Virus Protection,VIRAAT Mode, Diet Mode & ADC Sensor AC - White  (TS-Q17XNXE2, Copper Condenser)"
335,Please never buy. Very less cooling,"Certified Buyer, Rupnagar",2 months ago,1,"LG AI Convertible 6-in-1 Cooling 2024 Model 1.2 Ton 3 Star Split Dual Inverter 2 Way Swing, HD Filter with Anti-Virus Protection,VIRAAT Mode, Diet Mode & ADC Sensor AC - White  (TS-Q17XNXE2, Copper Condenser)"
336,"Please don't buy any electronics from Flipkart, I got this AC and it never worked from day 1. They wouldn't help with replacement and just point you to LG customer service. I'm not buying anymore products from Flipkart.","Certified Buyer, Coimbatore",2 months ago,1,"LG AI Convertible 6-in-1 Cooling 2024 Model 1.2 Ton 3 Star Split Dual Inverter 2 Way Swing, HD Filter with Anti-Virus Protection,VIRAAT Mode, Diet Mode & ADC Sensor AC - White  (TS-Q17XNXE2, Copper Condenser)"
337,"It is only 1.25 Ton AC.

4400 W is 1.25 Ton","Certified Buyer, Pen",2 months ago,1,"LG AI Convertible 6-in-1 Cooling 2024 Model 1.2 Ton 3 Star Split Dual Inverter 2 Way Swing, HD Filter with Anti-Virus Protection,VIRAAT Mode, Diet Mode & ADC Sensor AC - White  (TS-Q17XNXE2, Copper Condenser)"
338,20 days installation not cooling bad product not,"Certified Buyer, Kanpur",2 months ago,1,"LG AI Convertible 6-in-1 Cooling 2024 Model 1.2 Ton 3 Star Split Dual Inverter 2 Way Swing, HD Filter with Anti-Virus Protection,VIRAAT Mode, Diet Mode & ADC Sensor AC - White  (TS-Q17XNXE2, Copper Condenser)"
339,Terrible product.,"Certified Buyer, New Delhi",2 months ago,1,"LG AI Convertible 6-in-1 Cooling 2024 Model 1.2 Ton 3 Star Split Dual Inverter 2 Way Swing, HD Filter with Anti-Virus Protection,VIRAAT Mode, Diet Mode & ADC Sensor AC - White  (TS-Q17XNXE2, Copper Condenser)"
340,Don't buy the AC from Flipkart. AC has been delivered on 2nd of June but No service engineer is coming for installation even after the elapse of 1 month. Customer care executives are non cooperative. It is not worth buying. I will rate it 0 star,"Certified Buyer, Mandi District",2 months ago,1,"LG AI Convertible 6-in-1 Cooling 2024 Model 1.2 Ton 3 Star Split Dual Inverter 2 Way Swing, HD Filter with Anti-Virus Protection,VIRAAT Mode, Diet Mode & ADC Sensor AC - White  (TS-Q17XNXE2, Copper Condenser)"
341,Worst service by flipkart. My Ac delivered on 1st june and till now no installation done. Many follow up done by my side but no result. Flipkart team only giving fast comment daily. If someone want same pain which I get then go ahead or take another option.,"Certified Buyer, Jaipur",2 months ago,1,"LG AI Convertible 6-in-1 Cooling 2024 Model 1.2 Ton 3 Star Split Dual Inverter 2 Way Swing, HD Filter with Anti-Virus Protection,VIRAAT Mode, Diet Mode & ADC Sensor AC - White  (TS-Q17XNXE2, Copper Condenser)"
342,"I bought this AC and it's not cooling at all. Previously I owned a LG qc which was good in all aspects. DONT BUY THIS AC OTHERWISE YOU WILL LOOSE YOUR MONEY.

0 COOLING EVEN ON VIRAT MODE

WORST AC MODEL","Certified Buyer, Gurugram",2 months ago,1,"LG AI Convertible 6-in-1 Cooling 2024 Model 1.2 Ton 3 Star Split Dual Inverter 2 Way Swing, HD Filter with Anti-Virus Protection,VIRAAT Mode, Diet Mode & ADC Sensor AC - White  (TS-Q17XNXE2, Copper Condenser)"
343,"Don't buy this AC, company labelling it as 1.5 toh AC, but it's not. It's 1.25 ton AC.

Don't
Don't
Don't
Don't buy it..
LG good for other appliances but not good in AC.
It won't work at 48 degree

Also it takes 2 hours to cool room
Don't buy if you want chilled cooling.

This AC is a normal cooler.","Certified Buyer, Bahadurgarh",2 months ago,1,"LG AI Convertible 6-in-1 Cooling 2024 Model 1.2 Ton 3 Star Split Dual Inverter 2 Way Swing, HD Filter with Anti-Virus Protection,VIRAAT Mode, Diet Mode & ADC Sensor AC - White  (TS-Q17XNXE2, Copper Condenser)"
344,This unit not able to maintaine the cooling effect in the room. If the room temprature is 32*c and we have set the temprature at 28*c then it will take 3 to 4 hour to reached the set temprature. My room size is 160sft. Room is air packed also.,"Certified Buyer, Agra",2 months ago,1,"LG AI Convertible 6-in-1 Cooling 2024 Model 1.2 Ton 3 Star Split Dual Inverter 2 Way Swing, HD Filter with Anti-Virus Protection,VIRAAT Mode, Diet Mode & ADC Sensor AC - White  (TS-Q17XNXE2, Copper Condenser)"
345,"I am reviewing after using this AC for ~6 months. It is not like LG's old ACs.
It takes too much time for cooling even 12x10 room. I registered compain to LG and their technician also accepted that this AC takes time to cool.
My neighbour's 1 ton AC cools room faster than this AC.
Other issue is remote is without light in display. so in the night it creates problem.","Certified Buyer, Ahmedabad",2 months ago,1,"LG AI Convertible 6-in-1 Cooling 2024 Model 1.2 Ton 3 Star Split Dual Inverter 2 Way Swing, HD Filter with Anti-Virus Protection,VIRAAT Mode, Diet Mode & ADC Sensor AC - White  (TS-Q17XNXE2, Copper Condenser)"
346,Average Performance.... cooling Condition is not Sufficient in HC Position,"Certified Buyer, Vayalar",2 months ago,1,"LG AI Convertible 6-in-1 Cooling 2024 Model 1.2 Ton 3 Star Split Dual Inverter 2 Way Swing, HD Filter with Anti-Virus Protection,VIRAAT Mode, Diet Mode & ADC Sensor AC - White  (TS-Q17XNXE2, Copper Condenser)"
347,"AC is good but installation was very poor, charged extra for outdoor unit installation, no cover taping on pipe they did like free fund job. They didn't even carried their foldable steps. Really pathetic. 3rd class installation, installed without outdoor unit side cover.","Certified Buyer, Araria",2 months ago,1,"LG AI Convertible 6-in-1 Cooling 2024 Model 1.2 Ton 3 Star Split Dual Inverter 2 Way Swing, HD Filter with Anti-Virus Protection,VIRAAT Mode, Diet Mode & ADC Sensor AC - White  (TS-Q17XNXE2, Copper Condenser)"
348,Product is not working properly,"Certified Buyer, Moradabad",2 months ago,1,"LG AI Convertible 6-in-1 Cooling 2024 Model 1.2 Ton 3 Star Split Dual Inverter 2 Way Swing, HD Filter with Anti-Virus Protection,VIRAAT Mode, Diet Mode & ADC Sensor AC - White  (TS-Q17XNXE2, Copper Condenser)"
349,Cooling is very low,"Certified Buyer, Amritsar",2 months ago,1,"LG AI Convertible 6-in-1 Cooling 2024 Model 1.2 Ton 3 Star Split Dual Inverter 2 Way Swing, HD Filter with Anti-Virus Protection,VIRAAT Mode, Diet Mode & ADC Sensor AC - White  (TS-Q17XNXE2, Copper Condenser)"
350,Don't buy wastage of money it do nor provide cooling in the recommended size room. Pls don't buy it .,"Certified Buyer, Bhogpur",2 months ago,1,"LG AI Convertible 6-in-1 Cooling 2024 Model 1.2 Ton 3 Star Split Dual Inverter 2 Way Swing, HD Filter with Anti-Virus Protection,VIRAAT Mode, Diet Mode & ADC Sensor AC - White  (TS-Q17XNXE2, Copper Condenser)"
351,Very poor and low quality products and waste of money don't buy this product very bad experience also not good customer service,"Certified Buyer, Lunkaransar",2 months ago,1,"LG AI Convertible 6-in-1 Cooling 2024 Model 1.2 Ton 3 Star Split Dual Inverter 2 Way Swing, HD Filter with Anti-Virus Protection,VIRAAT Mode, Diet Mode & ADC Sensor AC - White  (TS-Q17XNXE2, Copper Condenser)"
352,It is very expensive in this amount,"Certified Buyer, Lormi",2 months ago,1,"LG AI Convertible 6-in-1 Cooling 2024 Model 1.2 Ton 3 Star Split Dual Inverter 2 Way Swing, HD Filter with Anti-Virus Protection,VIRAAT Mode, Diet Mode & ADC Sensor AC - White  (TS-Q17XNXE2, Copper Condenser)"
353,Avoid buying,"Certified Buyer, Amritsar",2 months ago,1,"LG AI Convertible 6-in-1 Cooling 2024 Model 1.2 Ton 3 Star Split Dual Inverter 2 Way Swing, HD Filter with Anti-Virus Protection,VIRAAT Mode, Diet Mode & ADC Sensor AC - White  (TS-Q17XNXE2, Copper Condenser)"
354,Waste product from LG . Customer service is very bad. Cooling is zero I raised complaint even after the cooling is not good . Done buy this product from LG,"Certified Buyer, Hyderabad",2 months ago,1,"LG AI Convertible 6-in-1 Cooling 2024 Model 1.2 Ton 3 Star Split Dual Inverter 2 Way Swing, HD Filter with Anti-Virus Protection,VIRAAT Mode, Diet Mode & ADC Sensor AC - White  (TS-Q17XNXE2, Copper Condenser)"
355,Getting switched off automatically after 30+ minutes and water leaking problem.,"Certified Buyer, Indore",3 months ago,1,"LG AI Convertible 6-in-1 Cooling 2024 Model 1.2 Ton 3 Star Split Dual Inverter 2 Way Swing, HD Filter with Anti-Virus Protection,VIRAAT Mode, Diet Mode & ADC Sensor AC - White  (TS-Q17XNXE2, Copper Condenser)"
356,Ac is not cooling properly.,"Certified Buyer, Yamunanagar",3 months ago,1,"LG AI Convertible 6-in-1 Cooling 2024 Model 1.2 Ton 3 Star Split Dual Inverter 2 Way Swing, HD Filter with Anti-Virus Protection,VIRAAT Mode, Diet Mode & ADC Sensor AC - White  (TS-Q17XNXE2, Copper Condenser)"
357,Water leaking from the indoor unit after use of one month was a very bad experience .. waste of money,"Certified Buyer, Berhampur",3 months ago,1,"LG AI Convertible 6-in-1 Cooling 2024 Model 1.2 Ton 3 Star Split Dual Inverter 2 Way Swing, HD Filter with Anti-Virus Protection,VIRAAT Mode, Diet Mode & ADC Sensor AC - White  (TS-Q17XNXE2, Copper Condenser)"
358,"Worse than a ceiling fan ,no cooling nothing ...dabba","Certified Buyer, Zirakpur",3 months ago,1,"LG AI Convertible 6-in-1 Cooling 2024 Model 1.2 Ton 3 Star Split Dual Inverter 2 Way Swing, HD Filter with Anti-Virus Protection,VIRAAT Mode, Diet Mode & ADC Sensor AC - White  (TS-Q17XNXE2, Copper Condenser)"
359,"Very bad quality AC took so much time for cooling and very less cooling
Worst quality ac never buy any product from LG specially AC","Certified Buyer, Jaipur",3 months ago,1,"LG AI Convertible 6-in-1 Cooling 2024 Model 1.2 Ton 3 Star Split Dual Inverter 2 Way Swing, HD Filter with Anti-Virus Protection,VIRAAT Mode, Diet Mode & ADC Sensor AC - White  (TS-Q17XNXE2, Copper Condenser)"
360,"Cooling is very very low.
Very disappointed

When I set at 19c /20c it takes approximately 4 hour to reach 25 c room temperature from 31c.
And it consumes 12 kwh ( unit) to 13 kwh power consumption. It's very high for 4 hour usages.","Certified Buyer, Rajkot District",3 months ago,1,"LG AI Convertible 6-in-1 Cooling 2024 Model 1.2 Ton 3 Star Split Dual Inverter 2 Way Swing, HD Filter with Anti-Virus Protection,VIRAAT Mode, Diet Mode & ADC Sensor AC - White  (TS-Q17XNXE2, Copper Condenser)"
